request_index,prompt_id,task_type,repeat,prompt_tokens,first_token_id,prefix_ok,lcp_tokens,rpp_forward_ms,rpp_input_tokens,rpp_cropped_tokens,continuation_demands,continuation_events,continuation_ubatches,continuation_duration_ms,skipped_prefill_events,skipped_crossing_events
1,text_001,text_continuation,1,21,279,True,21,151.06916427612305,22,22,29760,3720,31,3846.39,357,0
2,text_002,text_continuation,1,18,279,True,18,3.6995410919189453,19,19,29760,3720,31,4433.459,357,0
3,text_003,text_continuation,1,21,27823,True,21,4.179716110229492,22,22,29760,3720,31,4069.607,357,0
4,text_004,text_continuation,1,15,279,True,15,3.5500526428222656,16,16,29760,3720,31,4433.879,357,0
5,math_001,math_reasoning,1,44,271,True,44,5.78618049621582,45,45,29760,3720,31,4049.753,357,0
6,math_002,math_reasoning,1,46,271,True,46,5.1727294921875,47,47,29760,3720,31,4137.937,357,0
7,math_003,math_reasoning,1,37,271,True,37,4.415035247802734,38,38,29760,3720,31,4354.299,357,0
8,math_004,math_reasoning,1,35,1368,True,35,3.934144973754883,36,36,29760,3720,31,4680.718,357,0
9,code_001,code_generation,1,24,271,True,24,4.431724548339844,25,25,29760,3720,31,4110.973,357,0
10,code_002,code_generation,1,28,262,True,28,4.491567611694336,29,29,29760,3720,31,4127.363,357,0
11,code_003,code_generation,1,20,271,True,20,3.874063491821289,21,21,29760,3720,31,4324.325,357,0
12,code_004,code_generation,1,24,262,True,24,3.6292076110839844,25,25,29760,3720,31,4513.795,357,0
13,mc_001,multiple_choice,1,36,271,True,36,4.305124282836914,37,37,29760,3720,31,4396.249,357,0
14,mc_002,multiple_choice,1,44,271,True,44,4.395246505737305,45,45,29760,3720,31,4099.817,357,0
15,mc_003,multiple_choice,1,47,271,True,47,4.233837127685547,48,48,29760,3720,31,4191.12,357,0
16,mc_004,multiple_choice,1,44,271,True,44,3.850698471069336,45,45,10560,1320,11,1646.447,357,0
17,common_001,commonsense,1,27,271,True,27,4.069089889526367,28,28,29760,3720,31,4219.813,357,0
18,common_002,commonsense,1,15,271,True,15,3.5948753356933594,16,16,29760,3720,31,4234.343,357,0
19,common_003,commonsense,1,18,271,True,18,3.8628578186035156,19,19,29760,3720,31,4653.7,357,0
20,common_004,commonsense,1,19,271,True,19,3.766298294067383,20,20,29760,3720,31,4740.61,357,0
21,text_001,text_continuation,2,21,279,True,21,3.5507678985595703,22,22,29760,3720,31,3991.794,357,0
22,text_002,text_continuation,2,18,279,True,18,3.206968307495117,19,19,29760,3720,31,3987.62,357,0
23,text_003,text_continuation,2,21,27823,True,21,3.1402111053466797,22,22,29760,3720,31,3961.594,357,0
24,text_004,text_continuation,2,15,279,True,15,2.954721450805664,16,16,29760,3720,31,3792.786,357,0
25,math_001,math_reasoning,2,44,271,True,44,3.5321712493896484,45,45,29760,3720,31,3792.533,357,0
26,math_002,math_reasoning,2,46,271,True,46,3.4203529357910156,47,47,29760,3720,31,3878.875,357,0
27,math_003,math_reasoning,2,37,271,True,37,3.099679946899414,38,38,29760,3720,31,4255.213,357,0
28,math_004,math_reasoning,2,35,1368,True,35,3.1328201293945312,36,36,29760,3720,31,4403.606,357,0
29,code_001,code_generation,2,24,271,True,24,2.8810501098632812,25,25,29760,3720,31,3923.471,357,0
30,code_002,code_generation,2,28,262,True,28,3.2165050506591797,29,29,29760,3720,31,3971.224,357,0
31,code_003,code_generation,2,20,271,True,20,3.0393600463867188,21,21,29760,3720,31,3952.176,357,0
32,code_004,code_generation,2,24,262,True,24,3.4513473510742188,25,25,29760,3720,31,4445.361,357,0
33,mc_001,multiple_choice,2,36,271,True,36,3.5364627838134766,37,37,29760,3720,31,4197.147,357,0
34,mc_002,multiple_choice,2,44,271,True,44,4.032611846923828,45,45,29760,3720,31,4355.211,357,0
35,mc_003,multiple_choice,2,47,271,True,47,3.6292076110839844,48,48,29760,3720,31,3980.484,357,0
36,mc_004,multiple_choice,2,44,271,True,44,3.5812854766845703,45,45,10560,1320,11,1567.056,357,0
37,common_001,commonsense,2,27,271,True,27,3.313302993774414,28,28,29760,3720,31,3777.636,357,0
38,common_002,commonsense,2,15,271,True,15,3.049135208129883,16,16,29760,3720,31,4244.291,357,0
39,common_003,commonsense,2,18,271,True,18,3.0133724212646484,19,19,29760,3720,31,4135.677,357,0
40,common_004,commonsense,2,19,271,True,19,3.016233444213867,20,20,29760,3720,31,4547.125,357,0
41,text_001,text_continuation,3,21,279,True,21,3.069639205932617,22,22,29760,3720,31,3807.258,357,0
42,text_002,text_continuation,3,18,279,True,18,2.7828216552734375,19,19,29760,3720,31,4154.686,357,0
43,text_003,text_continuation,3,21,27823,True,21,2.916574478149414,22,22,29760,3720,31,3800.778,357,0
44,text_004,text_continuation,3,15,279,True,15,2.747058868408203,16,16,29760,3720,31,4185.119,357,0
45,math_001,math_reasoning,3,44,271,True,44,3.267049789428711,45,45,29760,3720,31,4028.905,357,0
46,math_002,math_reasoning,3,46,271,True,46,3.5359859466552734,47,47,29760,3720,31,4449.386,357,0
47,math_003,math_reasoning,3,37,271,True,37,3.12042236328125,38,38,29760,3720,31,4075.016,357,0
48,math_004,math_reasoning,3,35,1368,True,35,3.1795501708984375,36,36,29760,3720,31,4568.337,357,0
49,code_001,code_generation,3,24,271,True,24,3.203153610229492,25,25,29760,3720,31,3885.224,357,0
50,code_002,code_generation,3,28,262,True,28,2.925395965576172,29,29,29760,3720,31,3979.028,357,0
51,code_003,code_generation,3,20,271,True,20,2.8777122497558594,21,21,29760,3720,31,4268.485,357,0
52,code_004,code_generation,3,24,262,True,24,2.9211044311523438,25,25,29760,3720,31,4735.496,357,0
53,mc_001,multiple_choice,3,36,271,True,36,3.177165985107422,37,37,29760,3720,31,4381.286,357,0
54,mc_002,multiple_choice,3,44,271,True,44,4.436731338500977,45,45,29760,3720,31,3887.343,357,0
55,mc_003,multiple_choice,3,47,271,True,47,3.293752670288086,48,48,29760,3720,31,3912.765,357,0
56,mc_004,multiple_choice,3,44,271,True,44,3.3423900604248047,45,45,10560,1320,11,1596.36,357,0
57,common_001,commonsense,3,27,271,True,27,3.1037330627441406,28,28,29760,3720,31,3738.754,357,0
58,common_002,commonsense,3,15,271,True,15,2.763032913208008,16,16,29760,3720,31,4581.432,357,0
59,common_003,commonsense,3,18,271,True,18,2.845287322998047,19,19,29760,3720,31,4105.572,357,0
60,common_004,commonsense,3,19,271,True,19,3.220081329345703,20,20,29760,3720,31,4149.891,357,0
