top_k,cache_mb,requests,demand_experts,hit_experts,miss_experts,demand_payload_bytes,hit_payload_bytes,miss_payload_bytes,saved_payload_bytes,predicted_payload_bytes,false_positive_payload_bytes,timely_predicted_hit_payload_bytes,late_predicted_miss_payload_bytes,evicted_predicted_miss_payload_bytes,unpredicted_miss_payload_bytes,cache_reuse_hit_payload_bytes,predicted_demand_payload_bytes,hit_rate,prediction_recall_payload,h2d_reduction,late_payload_ratio,prefetch_finish_ms_mean
0,0,60,1728000,0,1728000,1100729548800,0,1100729548800,0,0,0,0,0,0,1100729548800,0,0,0.0,0.0,0.0,0.0,0.0
0,1024,60,1728000,732612,995388,1100729548800,466301386752,634428162048,466301386752,0,0,0,0,0,634428162048,466301386752,0,0.42396527777777776,0.0,0.4236293894902297,0.0,0.0
0,2048,60,1728000,982620,745380,1100729548800,625572986880,475156561920,625572986880,0,0,0,0,0,475156561920,625572986880,0,0.5686458333333333,0.0,0.5683257868038438,0.0,0.0
0,4096,60,1728000,1190733,537267,1100729548800,758280462336,342449086464,758280462336,0,0,0,0,0,342449086464,758280462336,0,0.6890815972222222,0.0,0.6888889856392669,0.0,0.0
0,6144,60,1728000,1211130,516870,1100729548800,771293208576,329436340224,771293208576,0,0,0,0,0,329436340224,771293208576,0,0.7008854166666667,0.0,0.7007109143357267,0.0,0.0
2,0,60,1728000,0,1728000,1100729548800,0,1100729548800,0,9172746240,2809823232,0,106700800,45182861312,1055439986688,0,45289562112,0.0,0.04114504072446683,0.0,9.69364364900749e-05,18.720548101735435
2,1024,60,1728000,740170,987830,1100729548800,471114997760,629614551040,471114997760,9172746240,2809823232,33987551232,106700800,11195310080,618312540160,437127446528,45289562112,0.42833912037037036,0.04114504072446683,0.4280024991366889,9.69364364900749e-05,18.720548101735435
2,2048,60,1728000,990927,737073,1100729548800,630861266944,469868281856,630861266944,9172746240,2809823232,40426012672,106700800,4756848640,465004732416,590435254272,45289562112,0.573453125,0.04114504072446683,0.5731301277700378,9.69364364900749e-05,18.720548101735435
2,4096,60,1728000,1200082,527918,1100729548800,764233965568,336495583232,764233965568,9172746240,2809823232,44638699520,106700800,544161792,335844720640,719595266048,45289562112,0.6944918981481482,0.04114504072446683,0.6942976741209111,9.69364364900749e-05,18.720548101735435
2,6144,60,1728000,1220955,507045,1100729548800,777549430784,323180118016,777549430784,9172746240,2809823232,45182861312,106700800,0,323073417216,732366569472,45289562112,0.7065711805555556,0.04114504072446683,0.7063946194882054,9.69364364900749e-05,18.720548101735435
4,0,60,1728000,0,1728000,1100729548800,0,1100729548800,0,18345492480,5280178176,0,230342656,82064506880,1018434699264,0,82294849536,0.0,0.07476391419283392,0.0,0.00020926362543016705,31.460473435068767
4,1024,60,1728000,746423,981577,1100729548800,475101945856,625627602944,475101945856,18345492480,5280178176,58909491200,230342656,23155015680,602242244608,416192454656,82294849536,0.43195775462962965,0.07476391419283392,0.43162459513687945,0.00020926362543016705,31.460473435068767
4,2048,60,1728000,998904,729096,1100729548800,635943878656,464785670144,635943878656,18345492480,5280178176,71517724672,230342656,10546782208,454008545280,564426153984,82294849536,0.5780694444444444,0.07476391419283392,0.5777476214291668,0.00020926362543016705,31.460473435068767
4,4096,60,1728000,1209696,518304,1100729548800,770362056704,330367492096,770362056704,18345492480,5280178176,80792477696,230342656,1272029184,328865120256,689569579008,82294849536,0.7000555555555555,0.07476391419283392,0.6998649736838972,0.00020926362543016705,31.460473435068767
4,6144,60,1728000,1231278,496722,1100729548800,784128180224,316601368576,784128180224,18345492480,5280178176,82064506880,230342656,0,316371025920,702063673344,82294849536,0.7125451388888889,0.07476391419283392,0.7123713368818395,0.00020926362543016705,31.460473435068767
8,0,60,1728000,0,1728000,1100729548800,0,1100729548800,0,36690984960,11094368256,0,427851776,144394264576,955907432448,0,144822116352,0.0,0.13156920926660237,0.0,0.0003886983650674573,56.940324101735435
8,1024,60,1728000,755573,972427,1100729548800,480937648128,619791900672,480937648128,36690984960,11094368256,99071139840,427851776,45323124736,574040924160,381866508288,144822116352,0.43725289351851854,0.13156920926660237,0.4369262628157039,0.0003886983650674573,56.940324101735435
8,2048,60,1728000,1013205,714795,1100729548800,645051686912,455677861888,645051686912,36690984960,11094368256,123276124160,427851776,21118140416,434131869696,521775562752,144822116352,0.5863454861111111,0.13156920926660237,0.5860219593588873,0.0003886983650674573,56.940324101735435
8,4096,60,1728000,1227219,500781,1100729548800,781524410368,319205138432,781524410368,36690984960,11094368256,141387956224,427851776,3006308352,315770978304,640136454144,144822116352,0.7101961805555556,0.13156920926660237,0.7100058422343681,0.0003886983650674573,56.940324101735435
8,6144,60,1728000,1250640,477360,1100729548800,796461973504,304267575296,796461973504,36690984960,11094368256,144394264576,427851776,0,303839723520,652067708928,144822116352,0.72375,0.13156920926660237,0.7235764447064147,0.0003886983650674573,56.940324101735435
