top_k,cache_mb,requests,demand_experts,hit_experts,miss_experts,demand_payload_bytes,hit_payload_bytes,miss_payload_bytes,saved_payload_bytes,predicted_payload_bytes,false_positive_payload_bytes,timely_predicted_hit_payload_bytes,late_predicted_miss_payload_bytes,evicted_predicted_miss_payload_bytes,unpredicted_miss_payload_bytes,cache_reuse_hit_payload_bytes,predicted_demand_payload_bytes,hit_rate,prediction_recall_payload,h2d_reduction,late_payload_ratio,prefetch_finish_ms_mean
0,0,1,29760,0,29760,18957008896,0,18957008896,0,0,0,0,0,0,18957008896,0,0,0.0,0.0,0.0,0.0,0.0
0,1024,1,29760,14703,15057,18957008896,9360801792,9596207104,9360801792,0,0,0,0,0,9596207104,9360801792,0,0.49405241935483873,0.0,0.49379107449673476,0.0,0.0
0,2048,1,29760,18408,11352,18957008896,11727052800,7229956096,11727052800,0,0,0,0,0,7229956096,11727052800,0,0.6185483870967742,0.0,0.6186130345950543,0.0,0.0
0,4096,1,29760,22479,7281,18957008896,14321410048,4635598848,14321410048,0,0,0,0,0,4635598848,14321410048,0,0.7553427419354839,0.0,0.755467812805736,0.0,0.0
0,6144,1,29760,22539,7221,18957008896,14359560192,4597448704,14359560192,0,0,0,0,0,4597448704,14359560192,0,0.7573588709677419,0.0,0.7574802686846827,0.0,0.0
2,0,1,29760,0,29760,18957008896,0,18957008896,0,152879104,70737920,0,43851776,988110848,17925046272,0,1031962624,0.0,0.05443699634586066,0.0,0.0023132223147952886,165.72716707832845
2,1024,1,29760,14712,15048,18957008896,9366913024,9590095872,9366913024,152879104,70737920,789757952,43851776,198352896,9347891200,8577155072,1031962624,0.49435483870967745,0.05443699634586066,0.4941134477167679,0.0023132223147952886,165.72716707832845
2,2048,1,29760,18447,11313,18957008896,11752038400,7204970496,11752038400,152879104,70737920,930955264,43851776,57155584,7103963136,10821083136,1031962624,0.619858870967742,0.05443699634586066,0.6199310484303103,0.0023132223147952886,165.72716707832845
2,4096,1,29760,22539,7221,18957008896,14359699456,4597309440,14359699456,152879104,70737920,988110848,43851776,0,4553457664,13371588608,1031962624,0.7573588709677419,0.05443699634586066,0.7574876149913055,0.0023132223147952886,165.72716707832845
2,6144,1,29760,22599,7161,18957008896,14397849600,4559159296,14397849600,152879104,70737920,988110848,43851776,0,4515307520,13409738752,1031962624,0.759375,0.05443699634586066,0.7595000708702522,0.0023132223147952886,165.72716707832845
4,0,1,29760,0,29760,18957008896,0,18957008896,0,305758208,108748800,0,88260608,1989943296,16878804992,0,2078203904,0.0,0.10962720518839388,0.0,0.004655829856081532,178.46709241166178
4,1024,1,29760,14644,15116,18957008896,9323651072,9633357824,9323651072,305758208,108748800,1542709248,88260608,447234048,9097863168,7780941824,2078203904,0.4920698924731183,0.10962720518839388,0.4918313391711983,0.004655829856081532,178.46709241166178
4,2048,1,29760,18504,11256,18957008896,11788288000,7168720896,11788288000,305758208,108748800,1819959296,88260608,169984000,6910476288,9968328704,2078203904,0.6217741935483871,0.10962720518839388,0.6218432488306408,0.004655829856081532,178.46709241166178
4,4096,1,29760,22638,7122,18957008896,14422556672,4534452224,14422556672,305758208,108748800,1982341120,88260608,7602176,4438589440,12440215552,2078203904,0.7606854838709678,0.10962720518839388,0.7608033920922627,0.004655829856081532,178.46709241166178
4,6144,1,29760,22710,7050,18957008896,14468308992,4488699904,14468308992,305758208,108748800,1989943296,88260608,0,4400439296,12478365696,2078203904,0.7631048387096774,0.10962720518839388,0.7632168698856742,0.004655829856081532,178.46709241166178
8,0,1,29760,0,29760,18957008896,0,18957008896,0,611516416,236642304,0,130908160,3046383616,15779717120,0,3177291776,0.0,0.16760512132641456,0.0,0.006905528225374316,203.94694307832845
8,1024,1,29760,14445,15315,18957008896,9197494272,9759514624,9197494272,611516416,236642304,2242723840,130908160,803659776,8824946688,6954770432,3177291776,0.48538306451612906,0.16760512132641456,0.4851764496423645,0.006905528225374316,203.94694307832845
8,2048,1,29760,18570,11190,18957008896,11830239232,7126769664,11830239232,611516416,236642304,2690654208,130908160,355729408,6640132096,9139585024,3177291776,0.623991935483871,0.16760512132641456,0.6240562156668199,0.006905528225374316,203.94694307832845
8,4096,1,29760,22818,6942,18957008896,14536728576,4420280320,14536728576,611516416,236642304,3029278720,130908160,17104896,4272267264,11507449856,3177291776,0.7667338709677419,0.16760512132641456,0.7668260671158573,0.006905528225374316,203.94694307832845
8,6144,1,29760,22923,6837,18957008896,14603526144,4353482752,14603526144,611516416,236642304,3046383616,130908160,0,4222574592,11557142528,3177291776,0.7702620967741935,0.16760512132641456,0.7703497014806697,0.006905528225374316,203.94694307832845
