top_k,cache_mb,requests,demand_experts,hit_experts,miss_experts,demand_payload_bytes,hit_payload_bytes,miss_payload_bytes,saved_payload_bytes,predicted_payload_bytes,false_positive_payload_bytes,timely_predicted_hit_payload_bytes,late_predicted_miss_payload_bytes,evicted_predicted_miss_payload_bytes,unpredicted_miss_payload_bytes,cache_reuse_hit_payload_bytes,hit_rate,prediction_recall_payload,h2d_reduction,late_payload_ratio,prefetch_finish_ms_mean
2,0,1,29760,0,29760,18957008896,0,18957008896,0,152879104,70737920,0,63725568,968237056,17925046272,0,0.0,0.05443699634586066,0.0,0.003361583483428461,266.1986636603597
2,1024,1,29760,14709,15051,18957008896,9364873216,9592135680,9364873216,152879104,70737920,787128320,49831936,181108736,9361195008,8577744896,0.4942540322580645,0.05370409422632156,0.49400584593152896,0.0026286813638893595,266.1986636603597
2,2048,1,29760,18438,11322,18957008896,11746058240,7210950656,11746058240,152879104,70737920,911081472,49831936,57155584,7103963136,10834976768,0.6195564516129032,0.05370409422632156,0.6196155893812163,0.0026286813638893595,266.1986636603597
2,4096,1,29760,22518,7242,18957008896,14346117120,4610891776,14346117120,152879104,70737920,968237056,49831936,0,4561059840,13377880064,0.7566532258064517,0.05370409422632156,0.7567711340277465,0.0026286813638893595,266.1986636603597
2,6144,1,29760,22590,7170,18957008896,14391869440,4565139456,14391869440,152879104,70737920,968237056,49831936,0,4515307520,13423632384,0.7590725806451613,0.05370409422632156,0.759184611821158,0.0026286813638893595,266.1986636603597
4,0,1,29760,0,29760,18957008896,0,18957008896,0,305758208,108748800,0,124960768,1953243136,16878804992,0,0.0,0.10962720518839388,0.0,0.006591797719015007,278.93858899369303
4,1024,1,29760,14627,15133,18957008896,9312559104,9644449792,9312559104,305758208,108748800,1544159232,94552064,409083904,9140813824,7768399872,0.4914986559139785,0.1080231175305347,0.49124622745548135,0.004987710061155842,278.93858899369303
4,2048,1,29760,18494,11266,18957008896,11781996544,7175012352,11781996544,305758208,108748800,1783259136,94552064,169984000,6910476288,9998737408,0.6214381720430108,0.1080231175305347,0.6215113686255666,0.004987710061155842,278.93858899369303
4,4096,1,29760,22619,7141,18957008896,14410563584,4546445312,14410563584,305758208,108748800,1947541504,94552064,5701632,4446191616,12463022080,0.7600470430107527,0.1080231175305347,0.7601707454513398,0.004987710061155842,278.93858899369303
4,6144,1,29760,22700,7060,18957008896,14462017536,4494991360,14462017536,305758208,108748800,1953243136,94552064,0,4400439296,12508774400,0.7627688172043011,0.1080231175305347,0.7628849896805999,0.004987710061155842,278.93858899369303
8,0,1,29760,0,29760,18957008896,0,18957008896,0,611516416,236642304,0,221069312,2956222464,15779717120,0,0.0,0.16760512132641456,0.0,0.011661613560072046,304.4184396603597
8,1024,1,29760,14380,15380,18957008896,9156395008,9800613888,9156395008,611516416,236642304,2165555200,156033024,790667264,8853913600,6990839808,0.4831989247311828,0.1641743961335956,0.48300842491728924,0.008230888367253103,304.4184396603597
8,2048,1,29760,18531,11229,18957008896,11805532160,7151476736,11805532160,611516416,236642304,2600493056,149913600,355729408,6645833728,9205039104,0.6226814516129032,0.1638515907778788,0.6227528944448094,0.007908083011536294,304.4184396603597
8,4096,1,29760,22766,6994,18957008896,14503690240,4453318656,14503690240,611516416,236642304,2939117568,149913600,17104896,4286300160,11564572672,0.764986559139785,0.1638515907778788,0.7650832639035335,0.007908083011536294,304.4184396603597
8,6144,1,29760,22893,6867,18957008896,14584520704,4372488192,14584520704,611516416,236642304,2956222464,149913600,0,4222574592,11628298240,0.7692540322580645,0.1638515907778788,0.7693471466945078,0.007908083011536294,304.4184396603597
