index,name,layer,family,role,offset,end,size_bytes,size_mib,size_gib,shape,type
0,output_norm.weight,,global,output_norm,15821408,15832672,11264,0.0107421875,1.049041748046875e-05,2816,0
1,rope_freqs.weight,,global,rope_freqs,15832672,15833696,1024,0.0009765625,9.5367431640625e-07,256,0
2,token_embd.weight,,global,token_embedding,15833696,621386336,605552640,577.5,0.56396484375,2816x262144,14
3,blk.0.attn_k.weight,0,attention,attn_k,621386336,624630368,3244032,3.09375,0.003021240234375,2816x2048,12
4,blk.0.attn_k_norm.weight,0,norm_scale,norm,624630368,624631392,1024,0.0009765625,9.5367431640625e-07,256,0
5,blk.0.attn_norm.weight,0,norm_scale,norm,624631392,624642656,11264,0.0107421875,1.049041748046875e-05,2816,0
6,blk.0.attn_output.weight,0,attention,attn_output,624642656,631130720,6488064,6.1875,0.00604248046875,4096x2816,12
7,blk.0.attn_q.weight,0,attention,attn_q,631130720,637618784,6488064,6.1875,0.00604248046875,2816x4096,12
8,blk.0.attn_q_norm.weight,0,norm_scale,norm,637618784,637619808,1024,0.0009765625,9.5367431640625e-07,256,0
9,blk.0.attn_v.weight,0,attention,attn_v,637619808,642350688,4730880,4.51171875,0.004405975341796875,2816x2048,14
10,blk.0.ffn_down.weight,0,shared_ffn,shared_ffn_down,642350688,648669792,6319104,6.0263671875,0.005885124206542969,2112x2816,8
11,blk.0.ffn_down_exps.scale,0,moe_expert,expert_down_scale,648669792,648670304,512,0.00048828125,4.76837158203125e-07,128,0
12,blk.0.ffn_down_exps.weight,0,moe_expert,expert_down,648670304,918285408,269615104,257.125,0.2510986328125,704x2816x128,8
13,blk.0.ffn_gate.weight,0,shared_ffn,shared_ffn_gate,918285408,921630816,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
14,blk.0.ffn_gate_inp.scale,0,moe_router,router_scale,921630816,921642080,11264,0.0107421875,1.049041748046875e-05,2816,0
15,blk.0.ffn_gate_inp.weight,0,moe_router,router_weight,921642080,923083872,1441792,1.375,0.0013427734375,2816x128,0
16,blk.0.ffn_gate_up_exps.weight,0,moe_expert,expert_gate_up,923083872,1208558688,285474816,272.25,0.265869140625,2816x1408x128,12
17,blk.0.ffn_norm.weight,0,norm_scale,norm,1208558688,1208569952,11264,0.0107421875,1.049041748046875e-05,2816,0
18,blk.0.ffn_up.weight,0,shared_ffn,shared_ffn_up,1208569952,1211915360,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
19,blk.0.layer_output_scale.weight,0,norm_scale,layer_output_scale,1211915360,1211915364,4,3.814697265625e-06,3.725290298461914e-09,1,0
20,blk.0.post_attention_norm.weight,0,norm_scale,norm,1211915392,1211926656,11264,0.0107421875,1.049041748046875e-05,2816,0
21,blk.0.post_ffw_norm.weight,0,norm_scale,norm,1211926656,1211937920,11264,0.0107421875,1.049041748046875e-05,2816,0
22,blk.0.post_ffw_norm_1.weight,0,norm_scale,norm,1211937920,1211949184,11264,0.0107421875,1.049041748046875e-05,2816,0
23,blk.0.post_ffw_norm_2.weight,0,norm_scale,norm,1211949184,1211960448,11264,0.0107421875,1.049041748046875e-05,2816,0
24,blk.0.pre_ffw_norm_2.weight,0,norm_scale,norm,1211960448,1211971712,11264,0.0107421875,1.049041748046875e-05,2816,0
25,blk.1.attn_k.weight,1,attention,attn_k,1211971712,1215215744,3244032,3.09375,0.003021240234375,2816x2048,12
26,blk.1.attn_k_norm.weight,1,norm_scale,norm,1215215744,1215216768,1024,0.0009765625,9.5367431640625e-07,256,0
27,blk.1.attn_norm.weight,1,norm_scale,norm,1215216768,1215228032,11264,0.0107421875,1.049041748046875e-05,2816,0
28,blk.1.attn_output.weight,1,attention,attn_output,1215228032,1221716096,6488064,6.1875,0.00604248046875,4096x2816,12
29,blk.1.attn_q.weight,1,attention,attn_q,1221716096,1228204160,6488064,6.1875,0.00604248046875,2816x4096,12
30,blk.1.attn_q_norm.weight,1,norm_scale,norm,1228204160,1228205184,1024,0.0009765625,9.5367431640625e-07,256,0
31,blk.1.attn_v.weight,1,attention,attn_v,1228205184,1232936064,4730880,4.51171875,0.004405975341796875,2816x2048,14
32,blk.1.ffn_down.weight,1,shared_ffn,shared_ffn_down,1232936064,1239255168,6319104,6.0263671875,0.005885124206542969,2112x2816,8
33,blk.1.ffn_down_exps.scale,1,moe_expert,expert_down_scale,1239255168,1239255680,512,0.00048828125,4.76837158203125e-07,128,0
34,blk.1.ffn_down_exps.weight,1,moe_expert,expert_down,1239255680,1508870784,269615104,257.125,0.2510986328125,704x2816x128,8
35,blk.1.ffn_gate.weight,1,shared_ffn,shared_ffn_gate,1508870784,1512216192,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
36,blk.1.ffn_gate_inp.scale,1,moe_router,router_scale,1512216192,1512227456,11264,0.0107421875,1.049041748046875e-05,2816,0
37,blk.1.ffn_gate_inp.weight,1,moe_router,router_weight,1512227456,1513669248,1441792,1.375,0.0013427734375,2816x128,0
38,blk.1.ffn_gate_up_exps.weight,1,moe_expert,expert_gate_up,1513669248,1799144064,285474816,272.25,0.265869140625,2816x1408x128,12
39,blk.1.ffn_norm.weight,1,norm_scale,norm,1799144064,1799155328,11264,0.0107421875,1.049041748046875e-05,2816,0
40,blk.1.ffn_up.weight,1,shared_ffn,shared_ffn_up,1799155328,1802500736,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
41,blk.1.layer_output_scale.weight,1,norm_scale,layer_output_scale,1802500736,1802500740,4,3.814697265625e-06,3.725290298461914e-09,1,0
42,blk.1.post_attention_norm.weight,1,norm_scale,norm,1802500768,1802512032,11264,0.0107421875,1.049041748046875e-05,2816,0
43,blk.1.post_ffw_norm.weight,1,norm_scale,norm,1802512032,1802523296,11264,0.0107421875,1.049041748046875e-05,2816,0
44,blk.1.post_ffw_norm_1.weight,1,norm_scale,norm,1802523296,1802534560,11264,0.0107421875,1.049041748046875e-05,2816,0
45,blk.1.post_ffw_norm_2.weight,1,norm_scale,norm,1802534560,1802545824,11264,0.0107421875,1.049041748046875e-05,2816,0
46,blk.1.pre_ffw_norm_2.weight,1,norm_scale,norm,1802545824,1802557088,11264,0.0107421875,1.049041748046875e-05,2816,0
47,blk.2.attn_k.weight,2,attention,attn_k,1802557088,1805801120,3244032,3.09375,0.003021240234375,2816x2048,12
48,blk.2.attn_k_norm.weight,2,norm_scale,norm,1805801120,1805802144,1024,0.0009765625,9.5367431640625e-07,256,0
49,blk.2.attn_norm.weight,2,norm_scale,norm,1805802144,1805813408,11264,0.0107421875,1.049041748046875e-05,2816,0
50,blk.2.attn_output.weight,2,attention,attn_output,1805813408,1812301472,6488064,6.1875,0.00604248046875,4096x2816,12
51,blk.2.attn_q.weight,2,attention,attn_q,1812301472,1818789536,6488064,6.1875,0.00604248046875,2816x4096,12
52,blk.2.attn_q_norm.weight,2,norm_scale,norm,1818789536,1818790560,1024,0.0009765625,9.5367431640625e-07,256,0
53,blk.2.attn_v.weight,2,attention,attn_v,1818790560,1823521440,4730880,4.51171875,0.004405975341796875,2816x2048,14
54,blk.2.ffn_down.weight,2,shared_ffn,shared_ffn_down,1823521440,1829840544,6319104,6.0263671875,0.005885124206542969,2112x2816,8
55,blk.2.ffn_down_exps.scale,2,moe_expert,expert_down_scale,1829840544,1829841056,512,0.00048828125,4.76837158203125e-07,128,0
56,blk.2.ffn_down_exps.weight,2,moe_expert,expert_down,1829841056,2099456160,269615104,257.125,0.2510986328125,704x2816x128,8
57,blk.2.ffn_gate.weight,2,shared_ffn,shared_ffn_gate,2099456160,2102801568,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
58,blk.2.ffn_gate_inp.scale,2,moe_router,router_scale,2102801568,2102812832,11264,0.0107421875,1.049041748046875e-05,2816,0
59,blk.2.ffn_gate_inp.weight,2,moe_router,router_weight,2102812832,2104254624,1441792,1.375,0.0013427734375,2816x128,0
60,blk.2.ffn_gate_up_exps.weight,2,moe_expert,expert_gate_up,2104254624,2389729440,285474816,272.25,0.265869140625,2816x1408x128,12
61,blk.2.ffn_norm.weight,2,norm_scale,norm,2389729440,2389740704,11264,0.0107421875,1.049041748046875e-05,2816,0
62,blk.2.ffn_up.weight,2,shared_ffn,shared_ffn_up,2389740704,2393086112,3345408,3.1904296875,0.0031156539916992188,2816x2112,12
63,blk.2.layer_output_scale.weight,2,norm_scale,layer_output_scale,2393086112,2393086116,4,3.814697265625e-06,3.725290298461914e-09,1,0
64,blk.2.post_attention_norm.weight,2,norm_scale,norm,2393086144,2393097408,11264,0.0107421875,1.049041748046875e-05,2816,0
65,blk.2.post_ffw_norm.weight,2,norm_scale,norm,2393097408,2393108672,11264,0.0107421875,1.049041748046875e-05,2816,0
66,blk.2.post_ffw_norm_1.weight,2,norm_scale,norm,2393108672,2393119936,11264,0.0107421875,1.049041748046875e-05,2816,0
67,blk.2.post_ffw_norm_2.weight,2,norm_scale,norm,2393119936,2393131200,11264,0.0107421875,1.049041748046875e-05,2816,0
68,blk.2.pre_ffw_norm_2.weight,2,norm_scale,norm,2393131200,2393142464,11264,0.0107421875,1.049041748046875e-05,2816,0
69,blk.3.attn_k.weight,3,attention,attn_k,2393142464,2396386496,3244032,3.09375,0.003021240234375,2816x2048,12
70,blk.3.attn_k_norm.weight,3,norm_scale,norm,2396386496,2396387520,1024,0.0009765625,9.5367431640625e-07,256,0
71,blk.3.attn_norm.weight,3,norm_scale,norm,2396387520,2396398784,11264,0.0107421875,1.049041748046875e-05,2816,0
72,blk.3.attn_output.weight,3,attention,attn_output,2396398784,2402886848,6488064,6.1875,0.00604248046875,4096x2816,12
73,blk.3.attn_q.weight,3,attention,attn_q,2402886848,2409374912,6488064,6.1875,0.00604248046875,2816x4096,12
74,blk.3.attn_q_norm.weight,3,norm_scale,norm,2409374912,2409375936,1024,0.0009765625,9.5367431640625e-07,256,0
75,blk.3.attn_v.weight,3,attention,attn_v,2409375936,2412619968,3244032,3.09375,0.003021240234375,2816x2048,12
76,blk.3.ffn_down.weight,3,shared_ffn,shared_ffn_down,2412619968,2416708800,4088832,3.8994140625,0.0038080215454101562,2112x2816,6
77,blk.3.ffn_down_exps.scale,3,moe_expert,expert_down_scale,2416708800,2416709312,512,0.00048828125,4.76837158203125e-07,128,0
