rank,name,layer,family,role,size_gib,size_mib,offset,end,shape,type
1,token_embd.weight,,global,token_embedding,0.56396484375,577.5,15833696,621386336,2816x262144,14
2,blk.0.ffn_gate_up_exps.weight,0,moe_expert,expert_gate_up,0.265869140625,272.25,923083872,1208558688,2816x1408x128,12
3,blk.1.ffn_gate_up_exps.weight,1,moe_expert,expert_gate_up,0.265869140625,272.25,1513669248,1799144064,2816x1408x128,12
4,blk.2.ffn_gate_up_exps.weight,2,moe_expert,expert_gate_up,0.265869140625,272.25,2104254624,2389729440,2816x1408x128,12
5,blk.3.ffn_gate_up_exps.weight,3,moe_expert,expert_gate_up,0.265869140625,272.25,2595964608,2881439424,2816x1408x128,12
6,blk.4.ffn_gate_up_exps.weight,4,moe_expert,expert_gate_up,0.265869140625,272.25,3087674592,3373149408,2816x1408x128,12
7,blk.5.ffn_gate_up_exps.weight,5,moe_expert,expert_gate_up,0.265869140625,272.25,3684885248,3970360064,2816x1408x128,12
8,blk.6.ffn_gate_up_exps.weight,6,moe_expert,expert_gate_up,0.265869140625,272.25,4178082080,4463556896,2816x1408x128,12
9,blk.7.ffn_gate_up_exps.weight,7,moe_expert,expert_gate_up,0.265869140625,272.25,4669792064,4955266880,2816x1408x128,12
10,blk.8.ffn_gate_up_exps.weight,8,moe_expert,expert_gate_up,0.265869140625,272.25,5258890592,5544365408,2816x1408x128,12
11,blk.9.ffn_gate_up_exps.weight,9,moe_expert,expert_gate_up,0.265869140625,272.25,5752087424,6037562240,2816x1408x128,12
12,blk.10.ffn_gate_up_exps.weight,10,moe_expert,expert_gate_up,0.265869140625,272.25,6243797408,6529272224,2816x1408x128,12
13,blk.11.ffn_gate_up_exps.weight,11,moe_expert,expert_gate_up,0.265869140625,272.25,6841008064,7126482880,2816x1408x128,12
14,blk.12.ffn_gate_up_exps.weight,12,moe_expert,expert_gate_up,0.265869140625,272.25,7332718048,7618192864,2816x1408x128,12
15,blk.13.ffn_gate_up_exps.weight,13,moe_expert,expert_gate_up,0.265869140625,272.25,7825914880,8111389696,2816x1408x128,12
16,blk.14.ffn_gate_up_exps.weight,14,moe_expert,expert_gate_up,0.265869140625,272.25,8415013408,8700488224,2816x1408x128,12
17,blk.15.ffn_gate_up_exps.weight,15,moe_expert,expert_gate_up,0.265869140625,272.25,8906723392,9192198208,2816x1408x128,12
18,blk.16.ffn_gate_up_exps.weight,16,moe_expert,expert_gate_up,0.265869140625,272.25,9399920224,9685395040,2816x1408x128,12
19,blk.17.ffn_gate_up_exps.weight,17,moe_expert,expert_gate_up,0.265869140625,272.25,9997130880,10282605696,2816x1408x128,12
20,blk.18.ffn_gate_up_exps.weight,18,moe_expert,expert_gate_up,0.265869140625,272.25,10488840864,10774315680,2816x1408x128,12
21,blk.19.ffn_gate_up_exps.weight,19,moe_expert,expert_gate_up,0.265869140625,272.25,10980550848,11266025664,2816x1408x128,12
22,blk.20.ffn_gate_up_exps.weight,20,moe_expert,expert_gate_up,0.265869140625,272.25,11571136224,11856611040,2816x1408x128,12
23,blk.21.ffn_gate_up_exps.weight,21,moe_expert,expert_gate_up,0.265869140625,272.25,12062846208,12348321024,2816x1408x128,12
24,blk.22.ffn_gate_up_exps.weight,22,moe_expert,expert_gate_up,0.265869140625,272.25,12554556192,12840031008,2816x1408x128,12
25,blk.23.ffn_gate_up_exps.weight,23,moe_expert,expert_gate_up,0.265869140625,272.25,13151766848,13437241664,2816x1408x128,12
26,blk.24.ffn_gate_up_exps.weight,24,moe_expert,expert_gate_up,0.265869140625,272.25,13644963680,13930438496,2816x1408x128,12
27,blk.25.ffn_gate_up_exps.weight,25,moe_expert,expert_gate_up,0.265869140625,272.25,14138160512,14423635328,2816x1408x128,12
28,blk.26.ffn_gate_up_exps.weight,26,moe_expert,expert_gate_up,0.265869140625,272.25,14728745888,15014220704,2816x1408x128,12
29,blk.27.ffn_gate_up_exps.weight,27,moe_expert,expert_gate_up,0.265869140625,272.25,15319331264,15604806080,2816x1408x128,12
30,blk.28.ffn_gate_up_exps.weight,28,moe_expert,expert_gate_up,0.265869140625,272.25,15909916640,16195391456,2816x1408x128,12
31,blk.29.ffn_gate_up_exps.weight,29,moe_expert,expert_gate_up,0.265869140625,272.25,16507127296,16792602112,2816x1408x128,12
32,blk.0.ffn_down_exps.weight,0,moe_expert,expert_down,0.2510986328125,257.125,648670304,918285408,704x2816x128,8
33,blk.1.ffn_down_exps.weight,1,moe_expert,expert_down,0.2510986328125,257.125,1239255680,1508870784,704x2816x128,8
34,blk.2.ffn_down_exps.weight,2,moe_expert,expert_down,0.2510986328125,257.125,1829841056,2099456160,704x2816x128,8
35,blk.5.ffn_down_exps.weight,5,moe_expert,expert_down,0.2510986328125,257.125,3410471680,3680086784,704x2816x128,8
36,blk.8.ffn_down_exps.weight,8,moe_expert,expert_down,0.2510986328125,257.125,4984477024,5254092128,704x2816x128,8
37,blk.11.ffn_down_exps.weight,11,moe_expert,expert_down,0.2510986328125,257.125,6566594496,6836209600,704x2816x128,8
38,blk.14.ffn_down_exps.weight,14,moe_expert,expert_down,0.2510986328125,257.125,8140599840,8410214944,704x2816x128,8
39,blk.17.ffn_down_exps.weight,17,moe_expert,expert_down,0.2510986328125,257.125,9722717312,9992332416,704x2816x128,8
40,blk.20.ffn_down_exps.weight,20,moe_expert,expert_down,0.2510986328125,257.125,11296722656,11566337760,704x2816x128,8
41,blk.23.ffn_down_exps.weight,23,moe_expert,expert_down,0.2510986328125,257.125,12877353280,13146968384,704x2816x128,8
42,blk.26.ffn_down_exps.weight,26,moe_expert,expert_down,0.2510986328125,257.125,14454332320,14723947424,704x2816x128,8
43,blk.27.ffn_down_exps.weight,27,moe_expert,expert_down,0.2510986328125,257.125,15044917696,15314532800,704x2816x128,8
44,blk.28.ffn_down_exps.weight,28,moe_expert,expert_down,0.2510986328125,257.125,15635503072,15905118176,704x2816x128,8
45,blk.29.ffn_down_exps.weight,29,moe_expert,expert_down,0.2510986328125,257.125,16232713728,16502328832,704x2816x128,8
46,blk.3.ffn_down_exps.weight,3,moe_expert,expert_down,0.1624755859375,166.375,2416709312,2591166144,704x2816x128,6
47,blk.4.ffn_down_exps.weight,4,moe_expert,expert_down,0.1624755859375,166.375,2908419296,3082876128,704x2816x128,6
48,blk.6.ffn_down_exps.weight,6,moe_expert,expert_down,0.1624755859375,166.375,3998826784,4173283616,704x2816x128,6
49,blk.7.ffn_down_exps.weight,7,moe_expert,expert_down,0.1624755859375,166.375,4490536768,4664993600,704x2816x128,6
